,close,volume,ticker,fiveYearHigh,WMA30,WMA30Slope,volumePerc,percent,RS,peak,trough,support,initialSupport,Stage,secondBuy
1997-05-12,119.0,466142,CIEN,143.5,,0.0,-0.6099788231140146,0.0,-1.1771473480856889,143.5,83.5625,0.0,0.0,volume,False
1997-05-19,161.0,1675114,CIEN,161.0,,0.0,2.593570199638737,0.0,-1.1673137945616872,161.0,161.0,0.0,0.0,RS,False
1997-05-26,163.625,3927485,CIEN,163.625,,0.0,1.3446075908863517,0.0,-1.2084546737847066,163.625,163.625,0.0,0.0,RS,False
1997-06-02,177.40625,1719857,CIEN,177.40625,,0.0,-0.5620971181303047,0.0,-1.205336979062957,177.40625,177.40625,0.0,0.0,volume,False
1997-06-09,165.375,1296972,CIEN,177.40625,,0.0,-0.24588381475901777,0.0,-1.1740373842624974,177.40625,165.375,0.0,0.0,volume,False
1997-06-16,176.3125,1315257,CIEN,177.40625,,0.0,0.014098222629324253,0.0,-1.2110165470627379,177.40625,165.375,0.0,0.0,volume,False
1997-06-23,157.9375,886400,CIEN,177.40625,,0.0,-0.3260632712846234,0.0,-1.2002992208811927,177.40625,157.9375,0.0,0.0,volume,False
1997-06-30,161.65625,2603513,CIEN,177.40625,,0.0,1.9371762184115524,0.0,-1.1720958031498145,177.40625,157.9375,0.0,0.0,RS,False
1997-07-07,185.9375,2180000,CIEN,185.9375,,0.0,-0.16266982342703873,0.0,-1.2397512346910768,185.9375,185.9375,0.0,0.0,volume,False
1997-07-14,179.8125,1549172,CIEN,185.9375,,0.0,-0.28937064220183484,0.0,-1.2580697933781078,185.9375,179.8125,0.0,0.0,volume,False
1997-07-21,192.5,1914058,CIEN,192.5,,0.0,0.2355361444694326,0.0,-1.222241502211258,192.5,192.5,0.0,0.0,volume,False
1997-07-28,202.453125,943229,CIEN,202.453125,,0.0,-0.5072098128687845,0.0,-1.240489442625024,202.453125,202.453125,0.0,0.0,volume,False
1997-08-04,172.8125,6485199,CIEN,202.453125,,0.0,5.875529696393983,0.0,-1.2661791339295827,202.453125,172.8125,0.0,0.0,RS,False
1997-08-11,156.625,2804029,CIEN,202.453125,,0.0,-0.5676263750734557,0.0,-1.2291507281466014,202.453125,156.625,0.0,0.0,volume,False
1997-08-18,182.0,4516686,CIEN,202.453125,,0.0,0.6107843392489878,0.0,-1.1605833997613701,202.453125,156.625,0.0,0.0,RS,False
1997-08-25,167.125,1717142,CIEN,202.453125,157.83870967741936,0.0,-0.6198225867372671,0.0,-1.1986060898908446,202.453125,156.625,0.0,0.0,volume,False
1997-09-01,175.4375,1348485,CIEN,202.453125,159.796875,0.0,-0.214692203673313,1.3547297297297298,0.21059876220492768,202.453125,156.625,0.0,0.0,volume,False
1997-09-08,173.90625,2181686,CIEN,202.453125,161.55745967741936,1.0110176414740235,0.6178793238337839,1.2905844155844155,0.11391640977650552,202.453125,156.625,0.0,0.0,RS,False
1997-09-15,168.0,2648942,CIEN,202.453125,162.85278897849463,1.0080177622479436,0.21417197525216736,1.3061224489795917,0.16334835999243347,202.453125,156.625,0.0,0.0,volume,False
1997-09-22,157.5,2205314,CIEN,202.453125,163.38602150537633,1.0032743223510414,-0.1674736555198264,1.1464968152866242,-0.03901771707433266,202.453125,156.625,0.0,0.0,volume,False
1997-09-29,194.25,6238884,CIEN,202.453125,166.24694220430106,1.0175101925646104,1.8290229872027295,1.353658536585366,0.15841820130183315,202.453125,156.625,0.0,0.0,RS,False
1997-10-06,206.0625,3164658,CIEN,206.0625,169.7608198924731,1.0211364951534196,-0.49275254997528406,1.6821428571428572,0.4833030688039943,206.0625,206.0625,0.0,0.0,volume,False
1997-10-13,201.6875,3537886,CIEN,206.0625,172.81273521505378,1.0179777367034029,0.11793628253037136,1.8739837398373984,0.6548503872099056,206.0625,201.6875,0.0,0.0,volume,False
1997-10-20,202.125,3471915,CIEN,206.0625,175.69059139784946,1.0166530330025412,-0.01864701123778434,1.9870967741935484,0.782964644946911,206.0625,201.6875,0.0,0.0,volume,False
1997-10-27,192.5,3572372,CIEN,206.0625,177.73155241935484,1.0116167918001007,0.028934176095900987,1.5017064846416381,0.28492867838338154,206.0625,192.5,0.0,0.0,volume,False
1997-11-03,214.59375,2276229,CIEN,214.59375,181.05961021505377,1.0187251939815751,-0.3628241963602895,2.04375,0.836968147968413,214.59375,214.59375,0.0,0.0,volume,False
1997-11-10,206.5,1993542,CIEN,214.59375,183.6298051075269,1.0141952967280796,-0.1241909315802584,2.2968369829683697,1.039452072688764,214.59375,206.5,0.0,0.0,volume,False
1997-11-17,192.71875,1732914,CIEN,214.59375,185.06014784946237,1.0077892733213867,-0.1307361470187235,2.306282722513089,1.094875327553901,214.59375,192.71875,0.0,0.0,volume,False
1997-11-24,189.0,1366772,CIEN,214.59375,186.01582661290323,1.0051641521664527,-0.2112868844039577,1.7851239669421488,0.5267913526514516,214.59375,189.0,0.0,0.0,volume,False
1997-12-01,207.375,1894858,CIEN,214.59375,187.9782258064516,1.0105496356373596,0.3863746111275326,1.8372093023255813,0.6620121131997001,214.59375,189.0,0.0,0.0,volume,False
1997-12-08,194.25,3614229,CIEN,214.59375,188.890625,1.0048537493618428,0.9073877831478665,1.6323529411764706,0.43956220536534185,214.59375,189.0,0.0,0.0,Slope,False
1997-12-15,200.375,2645314,CIEN,214.59375,190.03635752688172,1.006065587039493,-0.2680834556969135,1.2445652173913044,0.09555646216570945,214.59375,189.0,0.0,0.0,volume,False
1997-12-22,203.21875,828771,CIEN,214.59375,191.28088037634407,1.0065488670992144,-0.6867022213620009,1.2419786096256684,0.12421418977056242,214.59375,189.0,0.0,0.0,volume,False
1997-12-29,215.25,1552458,CIEN,215.25,193.21646505376344,1.0101190703096468,0.8732050228591492,1.2133168927250308,0.1093653795096694,215.25,215.25,0.0,0.0,RS,False
1998-01-05,201.6875,2177858,CIEN,215.25,194.19566532258065,1.0050678924725422,0.40284503670952776,1.2195767195767195,0.08317974642988313,215.25,201.6875,0.0,0.0,volume,False
1998-01-12,210.21875,1981829,CIEN,215.25,195.64717741935485,1.0074744824729382,-0.09001000065201681,1.1923076923076923,0.15377512974814467,215.25,201.6875,0.0,0.0,volume,False
1998-01-19,206.0625,1771057,CIEN,215.25,196.75762768817205,1.0056757796532736,-0.10635226348993787,1.3047091412742382,0.23481930405887574,215.25,201.6875,0.0,0.0,volume,False
1998-01-26,192.71875,7027772,CIEN,215.25,196.90369623655914,1.000742378072471,2.968122990959636,1.1921515561569689,0.11293365913283337,215.25,192.71875,0.0,0.0,RS,False
1998-02-02,182.21875,3221114,CIEN,215.25,196.3055443548387,0.9969622110038918,-0.5416592911665319,0.98,-0.08910095490080194,215.25,182.21875,0.0,0.0,volume,False
1998-02-09,195.78125,2696144,CIEN,215.25,196.59038978494624,1.001451030998863,-0.16297777725345952,1.0888077858880778,-0.015677999841022583,215.25,182.21875,0.0,0.0,volume,False
1998-02-16,147.0,9358143,CIEN,215.25,193.69371639784947,0.9852654374902787,2.470935899566195,0.7636363636363637,-0.350850733992881,215.25,147.0,0.0,0.0,RS,False
1998-02-23,146.78125,7262171,CIEN,215.25,190.88077956989247,0.9854773976137708,-0.22397306816106577,0.7250135062128579,-0.3766279526261679,215.25,146.78125,0.0,0.0,volume,False
1998-03-02,147.546875,2738858,CIEN,215.25,188.2369623655914,0.9861493796795135,-0.6228596104388068,0.8537974683544304,-0.2541062730050875,215.25,146.78125,0.0,0.0,volume,False
1998-03-09,157.0625,3328715,CIEN,215.25,186.26139112903226,0.9895048708195672,0.21536603942227006,1.0027932960893855,-0.12805269471330138,215.25,146.78125,0.0,0.0,volume,False
1998-03-16,164.5,2901086,CIEN,215.25,184.76471774193547,0.9919646611784405,-0.12846669059982607,0.9038461538461539,-0.2824306284361765,215.25,146.78125,0.0,0.0,volume,False
1998-03-23,159.03125,3735171,CIEN,215.25,182.9528561827957,0.9901936820986005,0.2875078505083959,0.9515706806282722,-0.23857608858600554,215.25,146.78125,0.0,0.0,volume,False
1998-03-30,142.625,4813886,CIEN,215.25,180.09993279569892,0.984406237504998,0.2887993615285618,0.8129675810473815,-0.40490514076225614,215.25,142.625,0.0,0.0,volume,False
1998-04-06,146.125,4096200,CIEN,215.25,177.5433803763441,0.9858048119193086,-0.14908662149456797,0.8402515723270441,-0.36818711872653087,215.25,142.625,0.0,0.0,volume,False
1998-04-13,159.6875,4606486,CIEN,215.25,175.92157258064515,0.9908652871638405,0.12457546018260834,0.9505208333333334,-0.25162015034405083,215.25,142.625,0.0,0.0,volume,False
1998-04-20,169.75,3532971,CIEN,215.25,174.96683467741934,0.9945729344660779,-0.233044233717415,1.0777777777777777,-0.10339860034365134,215.25,142.625,0.0,0.0,volume,False
1998-04-27,192.0625,5825628,CIEN,215.25,175.4252688172043,1.0026201202109541,0.6489317347920489,0.9887387387387387,-0.18336940407792635,215.25,142.625,0.0,0.0,RS,False
1998-05-04,189.4375,2235628,CIEN,215.25,175.71905241935485,1.001674693754961,-0.6162425750494196,0.9193205944798302,-0.2423012887446383,215.25,142.625,0.0,0.0,volume,False
1998-05-11,189.65625,2786457,CIEN,215.25,176.06270161290323,1.001955674065031,0.24638669760801002,0.940347071583514,-0.20563323517656928,215.25,142.625,0.0,0.0,volume,False
1998-05-18,172.375,3100943,CIEN,215.25,175.3173051075269,0.9957663008772001,0.1128623194257079,0.8528138528138528,-0.32148924412438873,215.25,142.625,0.0,0.0,volume,False
1998-05-25,182.0,3460115,CIEN,215.25,175.25685483870967,0.9996551950831086,0.11582670174846821,0.9454545454545454,-0.23383897800273912,215.25,142.625,0.0,0.0,volume,False
1998-06-01,217.21875,11303486,CIEN,217.21875,177.4911626344086,1.0127487612268016,2.2667948897652246,1.0122324159021407,-0.1804158447006674,217.21875,217.21875,0.0,0.0,RS,False
1998-06-08,214.375,3491029,CIEN,217.21875,179.53635752688172,1.01152279844313,-0.6911546579524228,1.0381355932203389,-0.1627786541989713,217.21875,214.375,0.0,0.0,volume,False
1998-06-15,220.5,2720029,CIEN,220.5,181.95977822580645,1.013498216920001,-0.2208517889711028,1.1441543700340522,-0.039494032742894536,220.5,220.5,0.0,0.0,volume,False
1998-06-22,246.75,3017229,CIEN,246.75,186.01700268817206,1.0222973697919697,0.10926354094018853,1.3055555555555556,0.16272363566979653,246.75,246.75,0.0,0.0,volume,False
1998-06-29,245.4375,1385115,CIEN,246.75,189.8653561827957,1.0206881813974542,-0.540931430792956,1.1835443037974684,-0.0025556775866177883,246.75,245.4375,0.0,0.0,volume,False
1998-07-06,255.9375,1507715,CIEN,255.9375,194.3092741935484,1.0234056285996391,0.08851250618179729,1.3175675675675675,0.15225782712472613,255.9375,255.9375,0.0,0.0,volume,False
1998-07-13,300.78125,2381742,CIEN,300.78125,201.51367607526882,1.0370769841615703,0.57970306059169,1.5010917030567685,0.27983918502611327,300.78125,300.78125,0.0,0.0,volume,False
1998-07-20,290.71875,3223800,CIEN,300.78125,207.8529569892473,1.0314583160678914,0.3535471096365601,1.4305705059203444,0.1771114517815089,300.78125,290.71875,0.0,0.0,volume,False
1998-07-27,259.21875,5666201,CIEN,300.78125,211.97180779569894,1.0198161761377527,0.7576155468701533,1.204268292682927,-0.013936459320288197,300.78125,259.21875,0.0,0.0,RS,False
1998-08-03,264.90625,3281915,CIEN,300.78125,216.3630376344086,1.0207161031666154,-0.4207909320548283,1.3134490238611713,0.1640909778325348,300.78125,259.21875,0.0,0.0,volume,False
1998-08-10,189.4375,8256858,CIEN,300.78125,215.74936155913977,0.9971636741562772,1.5158658892750116,0.9011446409989594,-0.27322389623305154,300.78125,189.4375,0.0,0.0,RS,False
1998-08-17,109.375,14290971,CIEN,300.78125,210.01505376344085,0.9734214379395646,0.7308001421363914,0.5307855626326964,-0.5745071428057557,300.78125,109.375,0.0,0.0,RS,False
1998-08-24,123.59375,13437599,CIEN,300.78125,205.40601478494622,0.9780537685470575,-0.05971406701476056,0.641316685584563,-0.4878095165595294,300.78125,109.375,0.0,0.0,volume,False
1998-08-31,87.5,8827086,CIEN,300.78125,198.61700268817205,0.9669483286364225,-0.34310541637683933,0.4801920768307323,-0.5676105754228015,300.78125,87.5,0.0,0.0,volume,False
1998-09-07,55.78125,17000087,CIEN,300.78125,189.98531586021505,0.9565410477898072,0.9259002348000234,0.2849162011173184,-0.6769884603140833,300.78125,55.78125,0.0,0.0,RS,False
1998-09-14,40.46875,15192057,CIEN,300.78125,180.6668010752688,0.9509513946235587,-0.10635416159929068,0.27529761904761907,-0.7138895810950231,300.78125,40.46875,0.0,0.0,volume,False
1998-09-21,49.875,21842172,CIEN,300.78125,172.18424059139784,0.9530485931372804,0.4377363118108364,0.33979135618479883,-0.6465557738803267,300.78125,40.46875,0.0,0.0,volume,False
1998-09-28,43.96875,5411656,CIEN,300.78125,163.52903225806452,0.9497328657744435,-0.7522381931613761,0.29799851742031136,-0.6976273369549918,300.78125,40.46875,0.0,0.0,volume,False
1998-10-05,29.96875,8258286,CIEN,300.78125,154.19334677419354,0.9429111433305716,0.5260182834976945,0.19080779944289694,-0.7589028459483123,300.78125,29.96875,0.0,0.0,volume,False
1998-10-12,32.59375,7049000,CIEN,300.78125,145.3003360215054,0.9423255870714616,-0.14643304918236055,0.1981382978723404,-0.7230490652839028,300.78125,29.96875,0.0,0.0,volume,False
1998-10-19,45.71875,16770258,CIEN,300.78125,137.5377688172043,0.9465757105809296,1.379097460632714,0.2874828060522696,-0.6736329651681858,300.78125,29.96875,0.0,0.0,RS,False
1998-10-26,60.15625,19746799,CIEN,300.78125,130.95033602150536,0.9521045538810942,0.17748927893655542,0.4217791411042945,-0.5556090327930899,300.78125,29.96875,0.0,0.0,volume,False
1998-11-02,59.9375,31451344,CIEN,300.78125,124.52614247311828,0.9509417559086518,0.592731257354673,0.4101796407185629,-0.5684166821890135,300.78125,29.96875,0.0,0.0,volume,False
1998-11-09,59.9375,6537543,CIEN,300.78125,118.28729838709677,0.9498993226473043,-0.7921378812937215,0.37534246575342467,-0.6519743471791896,300.78125,29.96875,0.0,0.0,volume,False
1998-11-16,64.75,9295371,CIEN,300.78125,112.57345430107527,0.9516952017339777,0.4218447205624498,0.38144329896907214,-0.6212287831870162,300.78125,29.96875,0.0,0.0,volume,False
1998-11-23,63.0,5143886,CIEN,300.78125,106.97251344086021,0.9502463445313185,-0.44661853733433554,0.32801822323462415,-0.7222119628721902,300.78125,29.96875,0.0,0.0,volume,False
1998-11-30,62.5625,7009085,CIEN,300.78125,101.62090053763441,0.9499720747780276,0.36260504218017275,0.3302540415704388,-0.733376606114385,300.78125,29.96875,0.0,0.0,volume,False
1998-12-07,54.6875,8703801,CIEN,300.78125,96.03407258064516,0.9450228454242027,0.24178847881000154,0.28835063437139563,-0.7735548781803744,300.78125,29.96875,0.0,0.0,volume,False
1998-12-14,48.125,5021458,CIEN,300.78125,90.3141129032258,0.9404382265199054,-0.4230729769671894,0.27918781725888325,-0.7728807490157861,300.78125,29.96875,0.0,0.0,volume,False
1998-12-21,50.09375,4269999,CIEN,300.78125,84.98837365591397,0.9410309299830192,-0.14964956393143192,0.27524038461538464,-0.7946039701532912,300.78125,29.96875,0.0,0.0,volume,False
1998-12-28,51.1875,3687886,CIEN,300.78125,80.01686827956989,0.941503700300563,-0.1363262614347216,0.23564954682779457,-0.8885231671961693,300.78125,29.96875,0.0,0.0,volume,False
1999-01-04,52.5,6827686,CIEN,300.78125,75.48709677419355,0.9433897926428483,0.8513820654976862,0.24489795918367346,-0.8586787889125189,300.78125,29.96875,0.0,0.0,RS,False
1999-01-11,66.28125,15883371,CIEN,300.78125,72.1945564516129,0.9563827400538438,1.326318316337336,0.3005952380952381,-0.8598011849347751,300.78125,29.96875,0.0,0.0,RS,False
1999-01-18,78.96875,10130229,CIEN,300.78125,70.05221774193548,0.9703254813801193,-0.36221164889997215,0.3200354609929078,-0.8095334139339626,300.78125,29.96875,0.0,0.0,volume,False
1999-01-25,70.65625,9308913,CIEN,300.78125,67.73440860215054,0.9669131226034343,-0.08107575850457083,0.2878787878787879,-0.7932984043186222,300.78125,29.96875,0.0,0.0,volume,False
1999-02-01,84.4375,13392343,CIEN,300.78125,66.68158602150538,0.9844566062895879,0.43865809036994974,0.3299145299145299,-0.7862906702707873,300.78125,29.96875,0.0,0.0,volume,False
1999-02-08,77.4375,5667886,CIEN,300.78125,65.54596774193548,0.9829695370592467,-0.5767815982610363,0.25745454545454544,-0.8070203638862301,300.78125,29.96875,0.0,0.0,volume,False
1999-02-15,78.53125,5691828,CIEN,300.78125,64.96122311827958,0.9910788619986795,0.0042241498858657245,0.27012791572610984,-0.7664257011964202,300.78125,29.96875,0.0,0.0,volume,False
1999-02-22,97.5625,17037373,CIEN,300.78125,66.0606182795699,1.0169238679402413,1.9933042600725108,0.3763713080168776,-0.7099014108317068,300.78125,29.96875,0.0,0.0,RS,False
1999-03-01,88.375,5847372,CIEN,300.78125,66.91491935483872,1.0129320781051943,-0.6567914548798104,0.33360858794384807,-0.7713820939656585,300.78125,29.96875,0.0,0.0,volume,False
1999-03-08,93.84375,5951314,CIEN,300.78125,68.50168010752688,1.0237131086458289,0.01777584870605109,0.4953810623556582,-0.6753656702786919,300.78125,29.96875,0.0,0.0,volume,False
1999-03-15,83.125,8627572,CIEN,300.78125,69.60248655913979,1.0160697730316246,0.44969195038272214,0.76,-0.4581509911270878,300.78125,29.96875,0.0,0.0,volume,False
1999-03-22,80.9375,3737658,CIEN,300.78125,70.61861559139786,1.0145990334899124,-0.5667775360205629,0.6548672566371682,-0.5467993953527007,300.78125,29.96875,0.0,0.0,volume,False
1999-03-29,80.71875,2408315,CIEN,300.78125,71.71236559139786,1.0154881257702428,-0.35566202151186654,0.9225,-0.32640475547016157,300.78125,29.96875,0.0,0.0,volume,False
1999-04-05,60.375,7001029,CIEN,300.78125,71.50819892473119,0.9971529782209394,1.9070237904925227,1.0823529411764705,-0.24605165404893814,300.78125,29.96875,0.0,0.0,RS,False
1999-04-12,70.875,6172458,CIEN,300.78125,71.97157258064516,1.0064800073681301,-0.11834988828070847,1.7513513513513514,0.4151077396253382,300.78125,29.96875,0.0,0.0,volume,False
1999-04-19,73.0625,2984658,CIEN,300.78125,72.51068548387097,1.0074906367041199,-0.5164555190168973,1.4649122807017543,0.17188915011988626,300.78125,29.96875,0.0,0.0,volume,False
1999-04-26,82.25,4563200,CIEN,300.78125,73.5926747311828,1.0149217903553331,0.5288853865333984,1.8706467661691542,0.5719150355293481,300.78125,29.96875,0.0,0.0,volume,False
1999-05-03,87.5,6049714,CIEN,300.78125,74.93104838709678,1.018186234714294,0.3257613078541375,2.9197080291970803,1.5879904087865728,300.78125,29.96875,0.0,0.0,volume,False
1999-05-10,84.875,2324742,CIEN,300.78125,75.9763440860215,1.01395010107859,-0.6157269583322451,2.6040268456375837,1.2376984798624089,300.78125,29.96875,0.0,0.0,volume,False
1999-05-17,105.21875,9381343,CIEN,300.78125,78.22170698924731,1.0295534475926293,3.0354340395622392,2.3014354066985647,1.0350830154357398,300.78125,29.96875,0.0,0.0,Slope,False
1999-05-24,100.625,4127229,CIEN,300.78125,80.04274193548387,1.023280429644509,-0.5600598976074108,1.6727272727272726,0.4302436087961201,300.78125,29.96875,0.0,0.0,volume,False
1999-05-31,103.03125,2408999,CIEN,300.78125,81.93198924731183,1.0236029809342455,-0.4163156442252175,1.718978102189781,0.534054591264318,300.78125,29.96875,0.0,0.0,volume,False
1999-06-07,106.3125,6696714,CIEN,300.78125,83.94025537634408,1.0245113800785466,1.7798741302922916,1.7737226277372262,0.6100606189589393,300.78125,29.96875,0.0,0.0,Slope,False
1999-06-14,108.0625,3830801,CIEN,300.78125,85.9616935483871,1.0240818682642785,-0.42795810004727697,1.6689189189189189,0.5197521205006324,300.78125,29.96875,0.0,0.0,volume,False
1999-06-21,105.21875,4566544,CIEN,300.78125,87.7065188172043,1.020297706999398,0.19205983291744988,1.6701388888888888,0.5160501866686791,300.78125,29.96875,0.0,0.0,volume,False
1999-06-28,108.5,4449829,CIEN,300.78125,89.57224462365592,1.0212723732695412,-0.025558715737765803,1.7342657342657342,0.6311230581008305,300.78125,29.96875,0.0,0.0,volume,False
1999-07-05,119.21875,5384515,CIEN,300.78125,92.0307123655914,1.0274467582258868,0.21004986933205738,2.18,0.9977337540589308,300.78125,29.96875,0.0,0.0,volume,False
1999-07-12,129.9375,5509714,CIEN,300.78125,95.04193548387097,1.0327197632277094,0.023251676334823168,2.7,1.496975398822057,300.78125,29.96875,0.0,0.0,volume,False
1999-07-19,118.125,3516115,CIEN,300.78125,97.11512096774193,1.0218133760988357,-0.36183348173789054,2.3580786026200875,1.1638495054510813,300.78125,29.96875,0.0,0.0,volume,False
1999-07-26,118.125,4548143,CIEN,300.78125,99.04200268817205,1.0198412121740563,0.29351372182081636,2.3076923076923075,1.2011334586674007,300.78125,29.96875,0.0,0.0,volume,False
1999-08-02,110.46875,5132142,CIEN,300.78125,100.3309811827957,1.0130144631533948,0.1284038342681837,2.1041666666666665,1.023229826681332,300.78125,29.96875,0.0,0.0,volume,False
1999-08-09,119.0,3588743,CIEN,300.78125,102.04569892473118,1.017090610713867,-0.3007319360999754,1.7953795379537953,0.7756161691581078,300.78125,29.96875,0.0,0.0,volume,False
1999-08-16,112.875,6229657,CIEN,300.78125,103.2518817204301,1.011820025815969,0.7358883040663542,1.4293628808864265,0.3614607177972855,300.78125,29.96875,0.0,0.0,Slope,False
1999-08-23,127.3125,9839772,CIEN,300.78125,105.31659946236559,1.0199969018242787,0.5795046179910066,1.8018575851393188,0.7109165480153716,300.78125,29.96875,0.0,0.0,volume,False
1999-08-30,128.84375,3435658,CIEN,300.78125,107.35826612903226,1.0193859911646335,-0.650839673927404,1.5259067357512954,0.47227446097308956,300.78125,29.96875,0.0,0.0,volume,False
1999-09-06,139.125,5757457,CIEN,300.78125,109.96774193548387,1.0243062402229497,0.6757945639525238,1.7966101694915255,0.7015319352660401,300.78125,29.96875,0.0,0.0,Slope,False
1999-09-13,149.1875,5925457,CIEN,300.78125,113.09375,1.02842659137577,0.0291795492350182,1.8997214484679665,0.800926988683651,300.78125,29.96875,0.0,0.0,volume,False
1999-09-20,134.203125,5324800,CIEN,300.78125,115.1010752688172,1.0177492148665792,-0.10136889019699236,1.3755605381165918,0.2979310005716116,300.78125,29.96875,0.0,0.0,volume,False
1999-09-27,123.8125,8744086,CIEN,300.78125,116.35924059139785,1.0109309606330108,0.6421435546875001,1.400990099009901,0.36947181980972355,300.78125,29.96875,0.0,0.0,Slope,False
1999-10-04,128.734375,6516942,CIEN,300.78125,117.85873655913979,1.0128867802859551,-0.25470289290384385,1.3717948717948718,0.36604006136481626,300.78125,29.96875,0.0,0.0,volume,False
1999-10-11,115.71875,9572742,CIEN,300.78125,118.4434811827957,1.0049614024443787,0.46890090474949764,1.3921052631578947,0.3601028107947748,300.78125,29.96875,0.0,0.0,volume,False
1999-10-18,120.3125,6445000,CIEN,300.78125,119.25450268817204,1.006847329184159,-0.32673417919338055,1.4864864864864864,0.5264159890017572,300.78125,29.96875,0.0,0.0,volume,False
1999-10-25,123.375,3828572,CIEN,300.78125,120.17842741935483,1.0077475039546195,-0.40596245151280064,1.5284552845528456,0.5137608856844036,300.78125,29.96875,0.0,0.0,volume,False
1999-11-01,153.125,14741571,CIEN,300.78125,122.92997311827958,1.0228955042765155,2.8504097611328714,2.536231884057971,1.482734926002823,300.78125,29.96875,0.0,0.0,Slope,False
1999-11-08,170.84375,6890085,CIEN,300.78125,126.62520161290323,1.030059621757732,-0.5326084987821176,2.4104938271604937,1.3942665825437506,300.78125,29.96875,0.0,0.0,volume,False
1999-11-15,186.8125,6899371,CIEN,300.78125,131.13568548387096,1.035620743844945,0.0013477337362310937,2.55688622754491,1.4984631353585947,300.78125,29.96875,0.0,0.0,volume,False
1999-11-22,167.78125,5408200,CIEN,300.78125,134.17372311827958,1.0231671312289918,-0.21613144154735264,2.0398936170212765,0.9918779737399119,300.78125,29.96875,0.0,0.0,volume,False
1999-11-29,166.46875,4101858,CIEN,300.78125,136.94314516129032,1.0206405693950176,-0.24154838948263746,1.9025,0.8415045251350937,300.78125,29.96875,0.0,0.0,volume,False
1999-12-06,251.5625,14445085,CIEN,300.78125,145.03266129032258,1.05907207782839,2.521595579369154,2.963917525773196,1.8982669318489396,300.78125,29.96875,0.0,0.0,Short,False
1999-12-13,222.25,6966001,CIEN,300.78125,150.8725806451613,1.0402662359146022,-0.5177597778067765,2.1122661122661124,1.0530345475014176,300.78125,29.96875,0.0,0.0,volume,False
1999-12-20,203.0,4864343,CIEN,300.78125,155.21888440860215,1.0288077776946294,-0.3017022248489485,2.017391304347826,0.9491806227897481,300.78125,29.96875,0.0,0.0,volume,False
1999-12-27,201.25,6119287,CIEN,300.78125,159.23212365591397,1.0258553542798778,0.2579883860985954,1.9532908704883227,0.833076401652757,300.78125,29.96875,0.0,0.0,volume,False
2000-01-03,202.125,11204771,CIEN,300.78125,163.09059139784947,1.024231716900751,0.8310582589115365,1.9012345679012346,0.7946633007199129,300.78125,29.96875,0.0,0.0,Slope,False
2000-01-10,233.84375,6992428,CIEN,300.78125,168.7893817204301,1.0349424836450485,-0.37594190903142954,2.1639676113360324,1.0496931962122376,300.78125,29.96875,0.0,0.0,volume,False
2000-01-17,258.34375,4704314,CIEN,300.78125,175.79831989247313,1.0415247576630864,-0.32722739511940635,2.455301455301455,1.3642183316925793,300.78125,29.96875,0.0,0.0,volume,False
2000-01-24,231.4375,5478885,CIEN,300.78125,180.74206989247313,1.0281217135807887,0.16465121163255692,2.1330645161290325,1.0372316545658984,300.78125,29.96875,0.0,0.0,volume,False
