,open,high,low,close,adjclose,volume,ticker,percent,WMA30,WMA30Slope
1998-04-17,1108.1700439453125,1122.719970703125,1104.949951171875,1115.12998046875,1122.719970703125,672290000,^GSPC,1.2143131212640554,1016.289297531292,1.000017831595369
1998-04-24,1119.5799560546875,1122.81005859375,1104.77001953125,1121.668017578125,1107.9000244140625,633890000,^GSPC,1.1818767030409463,1024.8300339959255,0.9867999619889355
1998-05-01,1111.75,1121.02001953125,1111.75,1099.80400390625,1121.0,581970000,^GSPC,1.185348308295129,1031.5721760017643,1.0118241495597635
1998-05-08,1095.1400146484375,1111.4200439453125,1094.530029296875,1109.15400390625,1108.1400146484375,567890000,^GSPC,1.1402244649383393,1038.588920110887,0.9885281129780887
1998-05-15,1117.3699951171875,1118.6600341796875,1107.1099853515625,1113.4780029296876,1108.72998046875,621990000,^GSPC,1.1511920223550332,1045.5559222477739,1.0005323928497427
1998-05-22,1114.6400146484375,1116.8900146484375,1107.989990234375,1111.902001953125,1110.469970703125,444070000,^GSPC,1.1668813138606284,1052.1201114121304,1.0015693543649278
1998-05-29,1097.5999755859375,1104.1600341796875,1090.8199462890625,1097.027978515625,1090.8199462890625,556780000,^GSPC,1.1545298391350085,1057.3995248445901,0.9823047674115667
1998-06-05,1095.0999755859375,1113.8800048828125,1094.8299560546875,1095.123974609375,1113.8599853515625,558440000,^GSPC,1.2118227519272224,1062.2565595860635,1.0211217617911017
1998-06-12,1094.5799560546875,1098.8399658203125,1080.8299560546875,1107.9659912109375,1098.8399658203125,633300000,^GSPC,1.1668922335835652,1067.5381029485889,0.9865153432848122
1998-06-19,1106.3699951171875,1111.25,1097.0999755859375,1095.74599609375,1100.6500244140625,715500000,^GSPC,1.2069578988181089,1071.664902580015,1.0016472449583673
1998-06-26,1129.280029296875,1136.8299560546875,1129.280029296875,1123.6119873046875,1133.199951171875,520050000,^GSPC,1.1775845714160604,1077.2097876764112,1.0295733666795135
