,holding,total
2000-03-10,[],188.12710114106847
2000-03-17,[],188.12710114106847
2000-03-24,"[('SNGX', 1275.0, 0.04918355585387411), ('SRCL', 5.671875, 11.056138175416327), ('OBLG', 580.0, 0.10811902364429221)]",188.12710114106847
2000-03-31,"[('VTNR', 150.0, 0.1911163714838322), ('CLRO', 19.9375, 1.4378661177466998), ('RDNT', 1.059999942779541, 27.044771009517962), ('NXGN', 1.90625, 15.038665297088436), ('SRCL', 6.25, 4.586792915611973), ('AATC', 7.1875, 3.9885155787930198)]",172.00473433544897
2000-04-07,"[('SOTK', 2.0, 10.179808946053969), ('CLRO', 18.03125, 1.1291295884704575), ('CLRO', 18.03125, 1.1291295884704575), ('KLAC', 97.3125, 0.2092189378765106), ('SRCL', 6.234375, 3.2657031205386167), ('SKYW', 20.0, 1.017980894605397), ('AATC', 8.28125, 2.4585198964054866), ('XOMA', 2835.9375, 0.007179149008787372)]",162.8769431368635
2000-04-14,[],132.66289633126252
2000-04-28,[],132.66289633126252
2000-05-05,[],132.66289633126252
2000-05-12,[],132.66289633126252
2000-05-19,[],132.66289633126252
2000-05-26,[],132.66289633126252
2000-06-02,[],132.66289633126252
2000-06-09,[],132.66289633126252
2000-06-16,[],132.66289633126252
2000-06-23,[],132.66289633126252
2000-06-30,[],132.66289633126252
2000-07-07,[],132.66289633126252
2000-07-14,"[('TRMB', 9.75, 3.401612726442629), ('NEON', 29062.5, 0.0011411862050001076), ('AMED', 2.671875, 12.412902580702925), ('SKYW', 24.375, 1.3606450905770515)]",132.66289633126252
2000-07-21,"[('SEIC', 14.78125, 0.9484531254033277), ('OLED', 32.875, 0.42644327786670533), ('NEON', 27812.5, 0.0005040655374334539), ('NEON', 27812.5, 0.0005040655374334539), ('NSYS', 8.625, 1.6254287257817899), ('FEIM', 28.375, 0.4940730488059185), ('AMED', 2.953125, 4.747283897521418), ('SKYW', 22.75, 0.6162339674667225), ('SKYW', 22.75, 0.6162339674667225)]",126.17390483881144
2000-07-28,[],113.89408427813605
2000-08-04,[],113.89408427813605
