,holding,total
2001-05-07,"[('KMX', 6.53000020980835, 5.824700015700517), ('LH', 31.162500381469727, 1.220546870725821), ('WRB', 5.263538837432861, 7.226182516997573)]",114.10587697378523
2001-05-14,"[('KMX', 6.880000114440918, 5.859562696448727), ('LH', 35.287498474121094, 1.1424383638785285), ('WRB', 5.230617046356201, 7.707272710821895)]",120.94137606642292
2001-05-21,"[('KMX', 7.5, 5.4565338699962265), ('LH', 33.54999923706055, 1.2197915038926606), ('WRB', 5.254321098327637, 7.788637820021531)]",122.7720120749151
2001-05-28,"[('KMX', 7.724999904632568, 5.687249529526519), ('LH', 37.087501525878906, 1.1846039842440648), ('WRB', 5.702057838439941, 7.704937992216883)]",131.80200621964195
2001-06-04,"[('KMX', 7.474999904632568, 6.0458072596849375), ('LH', 40.994998931884766, 1.1023883367983798), ('WRB', 5.775802135467529, 7.824438516004261)]",135.5772260687154
2001-06-11,"[('KMX', 6.525000095367432, 6.4875607242767295), ('LH', 39.54999923706055, 1.0703245299924267), ('WRB', 5.616460800170898, 7.537012337612968)]",126.99400303382299
2001-06-18,"[('KMX', 7.300000190734863, 5.940374913601724), ('LH', 39.650001525878906, 1.0936881799115628), ('WRB', 5.34650182723999, 8.110861906263528)]",130.09421400698756
2001-06-25,"[('KMX', 7.980000019073486, 5.584673550798435), ('LH', 38.45000076293945, 1.1590557648270827), ('WRB', 5.454485893249512, 8.170466642336603)]",133.69708512567212
2001-07-02,"[('KMX', 7.849999904632568, 5.589822156233919), ('LH', 38.75, 1.1323897649896588), ('WRB', 5.249053001403809, 8.359622846561841)]",131.64031018004783
2001-07-09,"[('KMX', 7.849999904632568, 5.777403184988744), ('LH', 41.9900016784668, 1.0800812726436053), ('WRB', 5.338601112365723, 8.49522440366184)]",136.05784335355662
2001-07-16,"[('KMX', 9.260000228881836, 5.1638053677402915), ('LH', 43.25, 1.1055916505705514), ('WRB', 5.089712142944336, 9.394802209681528)]",143.45051666152906
