Date,Close,Stage,support
2015-12-20,158.16,volume -0.5342985872794483 1.9505086899600719,0
2015-12-27,156.73,volume -0.18648080472720563 1.9505086899600719,0
2016-01-03,154.32,bearish,0
2016-01-10,156.68,bearish,0
2016-01-17,157.82,bearish,0
2016-01-24,162.87,bearish,0
2016-01-31,168.69,bearish,0
2016-02-07,164.21,bearish,0
2016-02-14,164.94,bearish,0
2016-02-21,164.09,volume 0.006793928188302711 1.9505086899600719,0
2016-02-28,167.31,volume 0.1706299102191473 1.9505086899600719,0
2016-03-06,171.86,volume -0.13082263411037232 1.9505086899600719,0
2016-03-13,175.66,volume 0.3693767438905722 1.9505086899600719,0
2016-03-20,176.14,volume -0.5785527970255524 1.9505086899600719,0
2016-03-27,179.97,volume 0.478693470815448 1.9505086899600719,0
2016-04-03,176.64,volume 0.008174296594959163 1.9505086899600719,0
2016-04-10,176.99,volume -0.1521849820174319 1.9505086899600719,0
2016-04-17,170.56,volume 0.140982481844532 1.9505086899600719,0
2016-04-24,174.91,volume 0.034198866710072995 1.9505086899600719,0
2016-05-01,176.85,volume 0.013272571150424461 1.9505086899600719,0
2016-05-08,178.57,volume -0.020766326520547218 1.9505086899600719,0
2016-05-15,173.5,volume 0.08916690476766997 1.9505086899600719,0
2016-05-22,176.31,volume -0.20351885077030774 1.9505086899600719,0
2016-05-29,181.56,volume 0.07149852680609992 1.9505086899600719,0
2016-06-05,183.62,volume -0.0679019118542088 1.9505086899600719,0
2016-06-12,185.64,volume 0.34368327620938444 1.9505086899600719,0
2016-06-19,185.87,volume -0.18984256478754125 1.9505086899600719,0
2016-06-26,192.3,volume 0.34854250618428884 1.9505086899600719,0
2016-07-03,192.37,volume -0.2054499499089406 1.9505086899600719,0
2016-07-10,190.11,volume -0.10828545026124925 1.9505086899600719,0
2016-07-17,193.18,volume -0.09100456061039719 1.9505086899600719,0
2016-07-24,190.94,volume 0.21160450435228628 1.9505086899600719,0
2016-07-31,185.57,volume -0.05240839507078843 1.9505086899600719,0
2016-08-07,184.81,volume -0.07992600296659602 1.9505086899600719,0
2016-08-14,182.75,volume 0.37987389338829036 1.9505086899600719,0
2016-08-21,178.22,volume -0.4363564088154349 1.9505086899600719,0
2016-08-28,179.37,volume 0.1904602911979536 1.9505086899600719,0
2016-09-04,175.1,volume -0.09173211652558189 1.9505086899600719,0
2016-09-11,179.82,volume 0.7939648750312287 1.9505086899600719,0
2016-09-18,186.69,volume -0.3438332729398169 1.9505086899600719,0
2016-09-25,180.26,volume 0.1268143533841226 1.9505086899600719,0
2016-10-02,172.19,volume 0.19198987390141387 1.9505086899600719,0
2016-10-09,174.12,volume -0.2977504580001141 1.9505086899600719,0
2016-10-16,175.61,volume -0.09597052564018882 1.9505086899600719,0
2016-10-23,176.99,volume 0.18500087219496164 1.9505086899600719,0
2016-10-30,174.56,volume 0.2499484975553543 1.9505086899600719,0
2016-11-06,168.7,volume 0.11573548946538303 1.9505086899600719,0
2016-11-13,169.32,volume -0.07868903127408644 1.9505086899600719,0
2016-11-20,171.67,volume -0.48142670593436176 1.9505086899600719,0
2016-11-27,170.52,volume 0.9698471802677311 1.9505086899600719,0
2016-12-04,174.69,volume 1.8232209607546843 1.9505086899600719,0
2016-12-11,176.61,volume 0.33746216718721 1.9505086899600719,0
2016-12-18,178.3,volume -0.4525530927949576 1.9505086899600719,0
2016-12-25,177.54,volume -0.3758569213991071 1.9505086899600719,0
2017-01-01,178.6,volume 0.6645410924523678 1.9505086899600719,0
2017-01-08,177.82,volume 0.09546634449753855 1.9505086899600719,0
2017-01-15,177.92,volume -0.30538023148527327 1.9505086899600719,0
2017-01-22,176.84,volume 0.31575612745942006 1.9505086899600719,0
2017-01-29,178.41,volume 0.21125481987685424 1.9505086899600719,0
2017-02-05,179.44,volume -0.2600248729264514 1.9505086899600719,0
2017-02-12,179.56,volume 0.5414599574769667 1.9505086899600719,0
2017-02-19,186.02,volume -0.28282474493090537 1.9505086899600719,0
2017-02-26,186.9,volume 0.45250466447177184 1.9505086899600719,0
2017-03-05,184.48,volume -0.19493808877597196 1.9505086899600719,0
2017-03-12,187.12,volume 0.28295796299363607 1.9505086899600719,0
2017-03-19,189.52,volume -0.14306515698436129 1.9505086899600719,0
2017-03-26,186.86,volume -0.05577346963245633 1.9505086899600719,0
2017-04-02,186.94,volume 0.04659991921947504 1.9505086899600719,0
2017-04-09,188.27,volume -0.32376505341756767 1.9505086899600719,0
2017-04-16,188.34,volume 0.35622610665260845 1.9505086899600719,0
2017-04-23,188.99,volume -0.029521437321467836 1.9505086899600719,0
2017-04-30,189.39,volume -0.07509675464946086 1.9505086899600719,0
2017-05-07,188.8,volume -0.022166266667095202 1.9505086899600719,0
2017-05-14,189.19,volume 0.4478757625692449 1.9505086899600719,0
2017-05-21,193.54,volume -0.2914357841099181 1.9505086899600719,0
2017-05-28,197.03,volume -0.12655183840558615 1.9505086899600719,0
2017-06-04,194.68,volume 0.2053296225922716 1.9505086899600719,0
2017-06-11,198.17,volume 0.1238211295693965 1.9505086899600719,0
2017-06-18,194.2,volume -0.24958645736190999 1.9505086899600719,0
2017-06-25,189.79,volume 0.30053407430128276 1.9505086899600719,0
2017-07-02,188.09,volume -0.3832419824803235 1.9505086899600719,0
2017-07-09,189.14,volume 0.33822631843129125 1.9505086899600719,0
2017-07-16,194.47,volume 0.23913737418205838 1.9505086899600719,0
2017-07-23,192.25,volume -0.19460484509477616 1.9505086899600719,0
2017-07-30,196.86,volume 0.4098421873751825 1.9505086899600719,0
2017-08-06,195.23,volume -0.10966088678021635 1.9505086899600719,0
2017-08-13,196.99,volume -0.10787978883054594 1.9505086899600719,0
2017-08-20,200.01,volume -0.13446976045288062 1.9505086899600719,0
2017-08-27,199.2,volume -0.06158660764873636 1.9505086899600719,0
2017-09-03,201.13,volume -0.011752107547206792 1.9505086899600719,0
2017-09-10,200.62,volume 0.5280468914515364 1.9505086899600719,0
2017-09-17,193.79,volume -0.20484318133430846 1.9505086899600719,0
2017-09-24,191.24,volume 0.2581937155107694 1.9505086899600719,0
2017-10-01,191.91,volume -0.07324511120841537 1.9505086899600719,0
2017-10-08,196.24,volume -0.06989726704647792 1.9505086899600719,0
2017-10-15,198.23,volume -0.1584398045885942 1.9505086899600719,0
